,0
imo_number,0
name,0
ship_type,0
reporting_period,0
technical_efficiency,3329
port_of_registry,1707
home_port,10134
ice_class,10218
doc_issue_date,18
doc_expiry_date,18
verifier_number,8729
verifier_name,0
verifier_nab,0
verifier_address,0
verifier_city,0
verifier_accreditation_number,0
verifier_country,0
a,7036
b,8386
c,8382
d,12237
total_fuel_consumption_m_tonnes,0
fuel_consumptions_assigned_to_on_laden_m_tonnes,10943
total_co_emissions_m_tonnes,0
co_emissions_from_all_voyages_between_ports_under_a_ms_jurisdiction_m_tonnes,0
co_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_jurisdiction_m_tonnes,0
co_emissions_from_all_voyages_to_ports_under_a_ms_jurisdiction_m_tonnes,0
co_emissions_which_occurred_within_ports_under_a_ms_jurisdiction_at_berth_m_tonnes,0
co_emissions_assigned_to_passenger_transport_m_tonnes,11867
co_emissions_assigned_to_freight_transport_m_tonnes,11883
co_emissions_assigned_to_on_laden_m_tonnes,10941
annual_total_time_spent_at_sea_hours,0
annual_average_fuel_consumption_per_distance_kg_n_mile,12237
annual_average_fuel_consumption_per_transport_work_mass_g_m_tonnes_n_miles,12237
annual_average_fuel_consumption_per_transport_work_volume_g_m_n_miles,12237
annual_average_fuel_consumption_per_transport_work_dwt_g_dwt_carried_n_miles,12237
annual_average_fuel_consumption_per_transport_work_pax_g_pax_n_miles,12237
annual_average_fuel_consumption_per_transport_work_freight_g_m_tonnes_n_miles,12237
annual_average_co_emissions_per_distance_kg_co_n_mile,12237
annual_average_co_emissions_per_transport_work_mass_g_co_m_tonnes_n_miles,12237
annual_average_co_emissions_per_transport_work_volume_g_co_m_n_miles,12237
annual_average_co_emissions_per_transport_work_dwt_g_co_dwt_carried_n_miles,12237
annual_average_co_emissions_per_transport_work_pax_g_co_pax_n_miles,12237
annual_average_co_emissions_per_transport_work_freight_g_co_m_tonnes_n_miles,12237
through_ice_n_miles,11665
total_time_spent_at_sea_hours,0
total_time_spent_at_sea_through_ice_hours,11665
fuel_consumption_per_distance_on_laden_voyages_kg_n_mile,12237
fuel_consumption_per_transport_work_mass_on_laden_voyages_g_m_tonnes_n_miles,12237
fuel_consumption_per_transport_work_volume_on_laden_voyages_g_m_n_miles,12237
fuel_consumption_per_transport_work_dwt_on_laden_voyages_g_dwt_carried_n_miles,12237
fuel_consumption_per_transport_work_pax_on_laden_voyages_g_pax_n_miles,12226
fuel_consumption_per_transport_work_freight_on_laden_voyages_g_m_tonnes_n_miles,12237
co_emissions_per_distance_on_laden_voyages_kg_co_n_mile,12237
co_emissions_per_transport_work_mass_on_laden_voyages_g_co_m_tonnes_n_miles,12237
co_emissions_per_transport_work_volume_on_laden_voyages_g_co_m_n_miles,12237
co_emissions_per_transport_work_dwt_on_laden_voyages_g_co_dwt_carried_n_miles,12237
co_emissions_per_transport_work_pax_on_laden_voyages_g_co_pax_n_miles,12226
co_emissions_per_transport_work_freight_on_laden_voyages_g_co_m_tonnes_n_miles,12237
additional_information_to_facilitate_the_understanding_of_the_reported_average_operational_energy_efficiency_indicators,12237
average_density_of_the_cargo_transported_m_tonnes_m,12232
